id,Link-to-record,edition-URL,translation-URL,Edition-issue,Translation-issue,Other-issue
1,https://github.com/srophe/caesarea-data/blob/master/data/testimonia/tei/1.xml,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0018.tlg031.opp-grc1:276-327,,,no URN or base,
10,https://github.com/srophe/caesarea-data/blob/master/data/testimonia/tei/10.xml,http://data.perseus.org/citations/urn:cts:greekLit:tlg0526.tlg001.perseus-grc1:18.55-18.59,http://data.perseus.org/citations/urn:cts:greekLit:tlg0526.tlg001.perseus-eng1:18.55-18.59,,,
101,https://github.com/srophe/caesarea-data/blob/master/data/testimonia/tei/101.xml,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg2018.tlg002.opp-grc2:6.8.4,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg2018.tlg002.opp-eng1:6.8.4,,,
103,https://github.com/srophe/caesarea-data/blob/master/data/testimonia/tei/103.xml,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg2018.tlg002.opp-grc2:6.19.16,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg2018.tlg002.opp-eng1:6.19.16,,,
104,https://github.com/srophe/caesarea-data/blob/master/data/testimonia/tei/104.xml,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg2018.tlg002.opp-grc2:6.23,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg2018.tlg002.opp-eng1:6.23,,,
105,https://github.com/srophe/caesarea-data/blob/master/data/testimonia/tei/105.xml,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg2018.tlg002.opp-grc2:6.26.1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg2018.tlg002.opp-eng1:6.26.1,,,
106,https://github.com/srophe/caesarea-data/blob/master/data/testimonia/tei/106.xml,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg2018.tlg002.opp-grc2:6.27.1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg2018.tlg002.opp-eng1:6.27.1,,,
107,https://github.com/srophe/caesarea-data/blob/master/data/testimonia/tei/107.xml,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg2018.tlg002.opp-grc2:6.28.1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg2018.tlg002.opp-eng1:6.28.1,,,
108,https://github.com/srophe/caesarea-data/blob/master/data/testimonia/tei/108.xml,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg2018.tlg002.opp-grc2:6.30.1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg2018.tlg002.opp-eng1:6.30.1,,,
109,https://github.com/srophe/caesarea-data/blob/master/data/testimonia/tei/109.xml,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg2018.tlg002.opp-grc2:6.32.2,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg2018.tlg002.opp-eng1:6.32.2,,,
11,https://github.com/srophe/caesarea-data/blob/master/data/testimonia/tei/11.xml,http://data.perseus.org/citations/urn:cts:greekLit:tlg0526.tlg001.perseus-grc1:19.332-19.334,http://data.perseus.org/citations/urn:cts:greekLit:tlg0526.tlg001.perseus-eng1:19.332-19.334,,,
110,https://github.com/srophe/caesarea-data/blob/master/data/testimonia/tei/110.xml,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg2018.tlg002.opp-grc2:6.39,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg2018.tlg002.opp-eng1:6.39,,,
12,https://github.com/srophe/caesarea-data/blob/master/data/testimonia/tei/12.xml,http://data.perseus.org/citations/urn:cts:greekLit:tlg0526.tlg001.perseus-grc1:19.343-19.352,http://data.perseus.org/citations/urn:cts:greekLit:tlg0526.tlg001.perseus-eng1:19.343-19.352,,,
121,https://github.com/srophe/caesarea-data/blob/master/data/testimonia/tei/121.xml,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg2018.tlg003.opp-grc1:1.1-1.2,https://scaife.perseus.org/reader/,,no URN,
123,https://github.com/srophe/caesarea-data/blob/master/data/testimonia/tei/123.xml,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg2018.tlg003.opp-grc1:3.2,https://scaife.perseus.org/reader/,,no URN,
124,https://github.com/srophe/caesarea-data/blob/master/data/testimonia/tei/124.xml,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg2018.tlg003.opp-grc1:4.8,https://scaife.perseus.org/reader/,,no URN,
125,https://github.com/srophe/caesarea-data/blob/master/data/testimonia/tei/125.xml,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg2018.tlg003.opp-grc1:6.2,https://scaife.perseus.org/reader/,,no URN,
126,https://github.com/srophe/caesarea-data/blob/master/data/testimonia/tei/126.xml,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg2018.tlg003.opp-grc1:6.3,https://scaife.perseus.org/reader/,,no URN,
127,https://github.com/srophe/caesarea-data/blob/master/data/testimonia/tei/127.xml,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg2018.tlg003.opp-grc1:9.12,https://scaife.perseus.org/reader/,,no URN,
128,https://github.com/srophe/caesarea-data/blob/master/data/testimonia/tei/128.xml,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg2018.tlg003.opp-grc1:11,https://scaife.perseus.org/reader/,,no URN,
13,https://github.com/srophe/caesarea-data/blob/master/data/testimonia/tei/13.xml,http://data.perseus.org/citations/urn:cts:greekLit:tlg0526.tlg001.perseus-grc1:19.356-19.366,http://data.perseus.org/citations/urn:cts:greekLit:tlg0526.tlg001.perseus-eng1:19.356-19.366,,,
130,https://github.com/srophe/caesarea-data/blob/master/data/testimonia/tei/130.xml,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg2018.tlg020.opp-grc1:1.19,https://scaife.perseus.org/reader/,,no URN,
131,https://github.com/srophe/caesarea-data/blob/master/data/testimonia/tei/131.xml,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg2018.tlg020.opp-grc1:4.36-4.37,https://scaife.perseus.org/reader/,,no URN,
139,https://github.com/srophe/caesarea-data/blob/master/data/testimonia/tei/139.xml,,,no URN or base,no URN or base,
14,https://github.com/srophe/caesarea-data/blob/master/data/testimonia/tei/14.xml,http://data.perseus.org/citations/urn:cts:greekLit:tlg0526.tlg001.perseus-grc1:20.113-20.124,http://data.perseus.org/citations/urn:cts:greekLit:tlg0526.tlg001.perseus-eng1:20.113-20.124,,,
140,https://github.com/srophe/caesarea-data/blob/master/data/testimonia/tei/140.xml,,,no URN or base,no URN or base,
141,https://github.com/srophe/caesarea-data/blob/master/data/testimonia/tei/141.xml,,,no URN or base,no URN or base,
142,https://github.com/srophe/caesarea-data/blob/master/data/testimonia/tei/142.xml,,,no URN or base,no URN or base,
143,https://github.com/srophe/caesarea-data/blob/master/data/testimonia/tei/143.xml,,,no URN or base,no URN or base,
15,https://github.com/srophe/caesarea-data/blob/master/data/testimonia/tei/15.xml,http://data.perseus.org/citations/urn:cts:greekLit:tlg0526.tlg001.perseus-grc1:20.173,http://data.perseus.org/citations/urn:cts:greekLit:tlg0526.tlg001.perseus-eng1:20.173,,,
150,https://github.com/srophe/caesarea-data/blob/master/data/testimonia/tei/150.xml,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg2057.tlg002.1st1K-grc1:2.4,https://scaife.perseus.org/reader/,,no URN,
151,https://github.com/srophe/caesarea-data/blob/master/data/testimonia/tei/151.xml,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg2057.tlg002.1st1K-grc1:4.4,https://scaife.perseus.org/reader/,,no URN,
152,https://github.com/srophe/caesarea-data/blob/master/data/testimonia/tei/152.xml,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg2048.tlg001.1st1K-grc1:3.2,https://scaife.perseus.org/reader/,,no URN,
154,https://github.com/srophe/caesarea-data/blob/master/data/testimonia/tei/154.xml,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg4089.tlg003.opp-grc1:5.8,https://scaife.perseus.org/reader/,,no URN,
16,https://github.com/srophe/caesarea-data/blob/master/data/testimonia/tei/16.xml,http://data.perseus.org/citations/urn:cts:greekLit:tlg0526.tlg001.perseus-grc1:20.176,http://data.perseus.org/citations/urn:cts:greekLit:tlg0526.tlg001.perseus-eng1:20.176,,,
163,https://github.com/srophe/caesarea-data/blob/master/data/testimonia/tei/163.xml,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg2733.tlg001.1st1K-grc1:4.7,https://scaife.perseus.org/reader/,,no URN,
17,https://github.com/srophe/caesarea-data/blob/master/data/testimonia/tei/17.xml,http://data.perseus.org/citations/urn:cts:greekLit:tlg0526.tlg001.perseus-grc1:20.182-20.184,http://data.perseus.org/citations/urn:cts:greekLit:tlg0526.tlg001.perseus-eng1:20.182-20.184,,,
173,https://github.com/srophe/caesarea-data/blob/master/data/testimonia/tei/173.xml,http://data.perseus.org/citations/urn:cts:greekLit:tlg0526.tlg001.perseus-grc1:13.12.4,http://data.perseus.org/citations/urn:cts:greekLit:tlg0526.tlg001.perseus-eng1:13.12.4,,,
174,https://github.com/srophe/caesarea-data/blob/master/data/testimonia/tei/174.xml,http://data.perseus.org/citations/,http://data.perseus.org/citations/urn:cts:greekLit:tlg0526.tlg001.perseus-eng1:14.4.4,no URN,,
175,https://github.com/srophe/caesarea-data/blob/master/data/testimonia/tei/175.xml,http://data.perseus.org/citations/,http://data.perseus.org/citations/urn:cts:greekLit:tlg0526.tlg001.perseus-eng1:15.7.3,no URN,,
176,https://github.com/srophe/caesarea-data/blob/master/data/testimonia/tei/176.xml,http://data.perseus.org/citations/urn:cts:greekLit:tlg0526.tlg004.perseus-grc1:1.7.7,http://data.perseus.org/citations/urn:cts:greekLit:tlg0526.tlg004.perseus-eng1:1.7.7,,,
177,https://github.com/srophe/caesarea-data/blob/master/data/testimonia/tei/177.xml,http://data.perseus.org/citations/urn:cts:greekLit:tlg0526.tlg004.perseus-grc1:1.20.3,http://data.perseus.org/citations/urn:cts:greekLit:tlg0526.tlg004.perseus-eng1:1.20.3,,,
178,https://github.com/srophe/caesarea-data/blob/master/data/testimonia/tei/178.xml,http://data.perseus.org/citations/urn:cts:greekLit:tlg0526.tlg004.perseus-grc1:1.21.5,http://data.perseus.org/citations/urn:cts:greekLit:tlg0526.tlg004.perseus-eng1:1.21.5,,,
18,https://github.com/srophe/caesarea-data/blob/master/data/testimonia/tei/18.xml,http://data.perseus.org/citations/urn:cts:greekLit:tlg0526.tlg004.perseus-grc1:1.156,http://data.perseus.org/citations/urn:cts:greekLit:tlg0526.tlg004.perseus-eng1:1.156,,,
181,https://github.com/srophe/caesarea-data/blob/master/data/testimonia/tei/181.xml,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg2018.tlg003.opp-grc1:6.1,https://scaife.perseus.org/reader/,,no URN,
183,https://github.com/srophe/caesarea-data/blob/master/data/testimonia/tei/183.xml,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg2018.tlg003.opp-grc1:6.5,https://scaife.perseus.org/reader/,,no URN,
184,https://github.com/srophe/caesarea-data/blob/master/data/testimonia/tei/184.xml,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg2018.tlg003.opp-grc1:6.7,https://scaife.perseus.org/reader/,,no URN,
185,https://github.com/srophe/caesarea-data/blob/master/data/testimonia/tei/185.xml,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg2018.tlg003.opp-grc1:1.3,https://scaife.perseus.org/reader/,,no URN,
186,https://github.com/srophe/caesarea-data/blob/master/data/testimonia/tei/186.xml,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg2018.tlg003.opp-grc1:2.1,https://scaife.perseus.org/reader/,,no URN,
187,https://github.com/srophe/caesarea-data/blob/master/data/testimonia/tei/187.xml,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg2018.tlg003.opp-grc1:2.4,https://scaife.perseus.org/reader/,,no URN,
188,https://github.com/srophe/caesarea-data/blob/master/data/testimonia/tei/188.xml,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg2018.tlg003.opp-grc1:4.2,https://scaife.perseus.org/reader/,,no URN,
189,https://github.com/srophe/caesarea-data/blob/master/data/testimonia/tei/189.xml,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg2018.tlg003.opp-grc1:4.14-4.15,https://scaife.perseus.org/reader/,,no URN,
19,https://github.com/srophe/caesarea-data/blob/master/data/testimonia/tei/19.xml,http://data.perseus.org/citations/urn:cts:greekLit:tlg0526.tlg004.perseus-grc1:1.408-1.415,http://data.perseus.org/citations/urn:cts:greekLit:tlg0526.tlg004.perseus-eng1:1.408-1.415,,,
190,https://github.com/srophe/caesarea-data/blob/master/data/testimonia/tei/190.xml,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg2018.tlg003.opp-grc1:7.1,https://scaife.perseus.org/reader/,,no URN,
