projectID	testimoniaID	Author	Work Title	Rife_Cited_Range	Source_Cited_Range	isContainer	Citation_URN	Citation_Link	Language	indirectReference	Full_Text	temp_NormalizingWhiteSpace	typosCorrected	Zotero URI_Machine-Readable	Zotero ID_Machine-Readable	Zotero URI_Print	Zotero ID_Print	STATUS	placeNamesMarked?	Zotero record added?	added_by	Eliana Comments	Josh comments	WLP Comments
92	48	Epistles	Apollonius of Tyana	11	11		#N/A	https://www-loebclassics-com.proxy.library.vanderbilt.edu/view/apollonius_tyana-letters/2006/pb_LCL458.17.xml?mainRsKey=Ti6YQQ&result=1&rskey=t5gvpn	Greek		$Καισαρέων προβούλοις.% Πρῶτον εἰς πάντα θεῶν ἄνθρωποι δέονται καὶ περὶ παντός, ἔπειτα πόλεων, τιμητέον γὰρ δεύτερον πόλεις μετὰ θεοὺς καὶ τὰ πόλεως προκριτέον παντὶ νοῦν ἔχοντι. εἰ δὲ μὴ πόλις μόνον εἴη, ἀλλὰ καὶ μεγίστη τῆς Παλαιστίνης, ἀρίστη τε τῶν αὐτόθι μεγέθει καὶ νόμοις καὶ ἐπιτηδεύμασι, καὶ προγόνων κατὰ πόλεμον ἀρεταῖς, ἔτι τε ἤθεσι κατ᾿ εἰρήνην, καθάπερ ἡ ὑμετέρα πόλις, μάλιστα πασῶν τῶν ἄλλων ἐμοί τε θαυμαστέα τιμητέα τε καὶ ἄλλῳ δὲ ὁμοίως παντὶ νοῦν ἔχοντι. τοῦτο μὲν οὖν ἐκ λόγου κοινοῦ τὸ προκριτικὸν ἂν εἴη, τὸ κατὰ σύγκρισιν τῶν πολλῶν. ὅταν δὲ καὶ ἄρχῃ πόλις ποτὲ τῆς πρὸς ἕνα τιμῆς ἄνδρα, ποιοῦσα τοῦτον ἑαυτῆς ξένον καὶ ἄποθεν, τί ἢ τούτου τοῦ ἀνδρὸς πρὸς ἀμοιβὴν ἢ ὑμῶν πρὸς τίσιν ἄξιον εἴη; τοῦτο μόνον ἴσως, εἰ θεοφιλής τις ὢν τύχοι διά τινα φύσεως ἐπιτηδειότητα, τὸ εὔχεσθαι τῇ πόλει τὰ ἀγαθὰ τυγχάνειν τε τῆς εὐχῆς, ὅπερ ἂν διατελέσαιμι κἀγὼ πράττων ὑπὲρ ὑμῶν, ἐπείπερ ἥσθην ἤθεσιν Ἑλληνικοῖς φαίνουσι τὸ ἴδιον ἀγαθὸν καὶ διὰ γραμμάτων κοινῶν. Ἀπολλωνίδην δὲ τὸν Ἀφροδισίου, νεανίαν ἐρρωμενεστάτης φύσεως ἀξίας τε τοῦ ἡμετέρου ὀνόματος, πειράσομαι χρήσιμον ὑμῖν παρασκευάζειν εἰς ἕκαστα μετὰ καὶ τύχης τινὸς ἀγαθῆς.	$Καισαρέων προβούλοις.% Πρῶτον εἰς πάντα θεῶν ἄνθρωποι δέονται καὶ περὶ παντός, ἔπειτα πόλεων, τιμητέον γὰρ δεύτερον πόλεις μετὰ θεοὺς καὶ τὰ πόλεως προκριτέον παντὶ νοῦν ἔχοντι. εἰ δὲ μὴ πόλις μόνον εἴη, ἀλλὰ καὶ μεγίστη τῆς Παλαιστίνης, ἀρίστη τε τῶν αὐτόθι μεγέθει καὶ νόμοις καὶ ἐπιτηδεύμασι, καὶ προγόνων κατὰ πόλεμον ἀρεταῖς, ἔτι τε ἤθεσι κατ᾿ εἰρήνην, καθάπερ ἡ ὑμετέρα πόλις, μάλιστα πασῶν τῶν ἄλλων ἐμοί τε θαυμαστέα τιμητέα τε καὶ ἄλλῳ δὲ ὁμοίως παντὶ νοῦν ἔχοντι. τοῦτο μὲν οὖν ἐκ λόγου κοινοῦ τὸ προκριτικὸν ἂν εἴη, τὸ κατὰ σύγκρισιν τῶν πολλῶν. ὅταν δὲ καὶ ἄρχῃ πόλις ποτὲ τῆς πρὸς ἕνα τιμῆς ἄνδρα, ποιοῦσα τοῦτον ἑαυτῆς ξένον καὶ ἄποθεν, τί ἢ τούτου τοῦ ἀνδρὸς πρὸς ἀμοιβὴν ἢ ὑμῶν πρὸς τίσιν ἄξιον εἴη; τοῦτο μόνον ἴσως, εἰ θεοφιλής τις ὢν τύχοι διά τινα φύσεως ἐπιτηδειότητα, τὸ εὔχεσθαι τῇ πόλει τὰ ἀγαθὰ τυγχάνειν τε τῆς εὐχῆς, ὅπερ ἂν διατελέσαιμι κἀγὼ πράττων ὑπὲρ ὑμῶν, ἐπείπερ ἥσθην ἤθεσιν Ἑλληνικοῖς φαίνουσι τὸ ἴδιον ἀγαθὸν καὶ διὰ γραμμάτων κοινῶν. Ἀπολλωνίδην δὲ τὸν Ἀφροδισίου, νεανίαν ἐρρωμενεστάτης φύσεως ἀξίας τε τοῦ ἡμετέρου ὀνόματος, πειράσομαι χρήσιμον ὑμῖν παρασκευάζειν εἰς ἕκαστα μετὰ καὶ τύχης τινὸς ἀγαθῆς.		https://www.zotero.org/groups/2320447/items/CFBD6CCG	CFBD6CCG	https://www.zotero.org/groups/2320447/items/USHKXM52	USHKXM52	ready to collate		yes, needs to be checked	Eliana 			
174	48	Epistles	Apollonius of Tyana	11	11			https://www-loebclassics-com.proxy.library.vanderbilt.edu/view/apollonius_tyana-letters/2006/pb_LCL458.17.xml?mainRsKey=Ti6YQQ&result=1&rskey=t5gvpn	English		Apollonius $to the councilors of Caesarea:% Above all humans need gods, for every purpose and above every thing, and secondly they need cities, for cities should be honored next after the gods, and every sensible person must give priority to the affairs of his city. But if it is not just a city, but the greatest one in Palestine, and the best of those there in respect of size, laws, and customs, and in its ancestors’ bravery in war and their morals in peacetime as well, as your city is, then I must both admire and honor it above all others, and so also must every other sensible person. This then by common consent is the ground for preferring it—the comparison of it with the majority. But whenever a city actually takes the first step to honor a man, making him its own guest even from a distance, what would be a worthy return from such a man or a worthy payment to you? Perhaps only this: if he happens to have the gods’ favor because of a certain fitness of character, that he should pray for blessings on the city and have his prayer granted. That I could constantly do for you, since I was delighted by your Greek customs, which reveal your particular excellence by means of your public letter. As for Apollonides the son of Aphrodisius, a young man possessing a very firm nature and one worthy to share my name, I shall try to make him serviceable to you in every respect, with the help of some good fortune.	Apollonius $to the councilors of Caesarea:% Above all humans need gods, for every purpose and above every thing, and secondly they need cities, for cities should be honored next after the gods, and every sensible person must give priority to the affairs of his city. But if it is not just a city, but the greatest one in Palestine, and the best of those there in respect of size, laws, and customs, and in its ancestors’ bravery in war and their morals in peacetime as well, as your city is, then I must both admire and honor it above all others, and so also must every other sensible person. This then by common consent is the ground for preferring it—the comparison of it with the majority. But whenever a city actually takes the first step to honor a man, making him its own guest even from a distance, what would be a worthy return from such a man or a worthy payment to you? Perhaps only this: if he happens to have the gods’ favor because of a certain fitness of character, that he should pray for blessings on the city and have his prayer granted. That I could constantly do for you, since I was delighted by your Greek customs, which reveal your particular excellence by means of your public letter. As for Apollonides the son of Aphrodisius, a young man possessing a very firm nature and one worthy to share my name, I shall try to make him serviceable to you in every respect, with the help of some good fortune.		https://www.zotero.org/groups/2320447/items/CFBD6CCG	CFBD6CCG	https://www.zotero.org/groups/2320447/items/USHKXM52	USHKXM52	ready to collate			Eliana			
100.1	200	Procopius 	Historia Arcana		29.17-29.18		urn:cts:greekLit:tlg4029.tlg002.perseus-grc1:29.17	http://data.perseus.org/citations/urn:cts:greekLit:tlg4029.tlg002.perseus-grc1:29.17	Greek		Ἀνατόλιός τις ἦν ἐν Ἀσκαλωνιτῶν τῷ λευκώματι τὰ πρωτεῖα ἔχων. τούτου τὴν παῖδα γαμετὴν γυναῖκα τῶν τις $Καισαρέων% πεποίηται, Μαμιλιανὸς ὄνομα, οἰκίας ἐπιφανοῦς ἄγαν.			https://www.zotero.org/groups/2320447/items/SW5BHIPQ	SW5BHIPQ	https://www.zotero.org/groups/2320447/items/8K7THZJK	8K7THZJK	ready to collate			Eliana			
100.2	201	Procopius	Historia Arcana		30.18		urn:cts:greekLit:tlg4029.tlg002.perseus-grc1:30.18	http://data.perseus.org/citations/urn:cts:greekLit:tlg4029.tlg002.perseus-grc1:30.18	Greek		τῶν $ἐν Καισαρείᾳ% ῥητόρων Εὐάγγελός τις ἦν οὐκ ἄσημος ἀνὴρ, ὅσπερ ἐπιφόρου οἱ τοῦ τῆς τύχης πνεύματος γενομένου χρημάτων τε ἄλλων καὶ χώρας πολλῆς κύριος γέγονεν.			https://www.zotero.org/groups/2320447/items/SW5BHIPQ	SW5BHIPQ	https://www.zotero.org/groups/2320447/items/8K7THZJK	8K7THZJK	ready to collate			Eliana			
103.1	200	Procopius	Historia Arcana		29		#N/A	https://sourcebooks.fordham.edu/basis/procop-anec.asp#atwater	English		One Anatolius was foremost in the Senate of Ascalon. His daughter was married to a citizen of $Caesarea% by the name of Mamilian, of illustrious family. 			https://www.zotero.org/groups/2320447/items/6IIKXJFN	6IIKXJFN	https://www.zotero.org/groups/2320447/items/XLTS4FNE	XLTS4FNE	ready to collate			Eliana			
103.2	201	Procopius	Historia Arcana		30		#N/A	https://sourcebooks.fordham.edu/basis/procop-anec.asp#atwater	English		Among the lawyers $at Caesarea% was one Evangelius, a man of no mean distinction, who, favored by the winds of Fate, became the master of much money and much land.			https://www.zotero.org/groups/2320447/items/6IIKXJFN	6IIKXJFN	https://www.zotero.org/groups/2320447/items/XLTS4FNE	XLTS4FNE	ready to collate			Eliana			
105	57	Justinian I	Digesta L	15.1.6	15.1.6		#N/A	https://droitromain.univ-grenoble-alpes.fr/Corpus/d-50.htm#15	Latin		In Palaestina duae fuerunt coloniae, $Caesariensis% et Aelia Capitolina, sed neutra ius Italicum habet.	In Palaestina duae fuerunt coloniae, $Caesariensis% et Aelia Capitolina, sed neutra ius Italicum habet.		https://www.zotero.org/groups/2320447/items/F8CTUC2I	F8CTUC2I	https://www.zotero.org/groups/2320447/items/RIWSVZJS	RIWSVZJS	ready to collate			Eliana	Check Zotero 		can't find URN
131	57	Justinian I	Digesta L	15.1.6	15.1.6		#N/A	https://droitromain.univ-grenoble-alpes.fr/Anglica/D50_Scott.htm#XV	English		In Palestine there are two colonies, those of $Caesarea% and Aelia Capitolina; but neither of these enjoy Italian privileges.	In Palestine there are two colonies, those of $Caesarea% and Aelia Capitolina; but neither of these enjoy Italian privileges.		https://www.zotero.org/groups/2320447/items/RKEUX723	RKEUX723	https://www.zotero.org/groups/2320447/items/TRH24FTN	TRH24FTN	ready to collate			Eliana			can't find URN
105	79	Justinian I	Digesta L	15.8.7	15.8.7		#N/A	https://droitromain.univ-grenoble-alpes.fr/Corpus/d-50.htm#15	Latin		Divus Vespasianus $Caesarienses% colonos fecit non adiecto, ut et iuris Italici essent, sed tributum his remisit capitis: sed divus Titus etiam solum immune factum interpretatus est. Similes his capitulenses esse videntur.	Divus Vespasianus $Caesarienses% colonos fecit non adiecto, ut et iuris Italici essent, sed tributum his remisit capitis: sed divus Titus etiam solum immune factum interpretatus est. Similes his capitulenses esse videntur.		https://www.zotero.org/groups/2320447/items/F8CTUC2I	F8CTUC2I	https://www.zotero.org/groups/2320447/items/RIWSVZJS	RIWSVZJS	ready to collate			Eliana			
132	79	Justinian I	Digesta L	15.8.7	15.8.7		#N/A	https://droitromain.univ-grenoble-alpes.fr/Anglica/D50_Scott.htm#XV	English		The Divine Vespasian constituted the people of $Caesarea% colonists, without conferring upon them the privileges of Italy, but released them from personal taxation. The Divine Titus, however, decided that their soil should also be exempt from taxation, for it was considered that they resembled the inhabitants of Aelia Capitolina.	The Divine Vespasian constituted the people of $Caesarea% colonists, without conferring upon them the privileges of Italy, but released them from personal taxation. The Divine Titus, however, decided that their soil should also be exempt from taxation, for it was considered that they resembled the inhabitants of Aelia Capitolina.		https://www.zotero.org/groups/2320447/items/RKEUX723	RKEUX723	https://www.zotero.org/groups/2320447/items/TRH24FTN	TRH24FTN	ready to collate			Eliana			
