Old-ID,NEW,match?,Old Name,status,comments,OldID lookup,
Old176,New1,Old176,Ahvāz,,,Old60,
Old72,New1,Old72,Ahwaz,,,Old95,
Old186,New10,Old186,Bədyal,,,Old21,
Old410,New100,Old410,Semele,,,Old21,
Old101,New101,Old101,Resafa,,,Old65,
Old448,New101,Old448,Sergiopolis/Resafa,,,Old65,
Old327,New102,Old327,Qarashahr,,,Old241,
Old310,New103,Old310,Qarshi,,,Old241,
Old94,New104,Old94,Qashan,,,Old305,
Old341,New105,Old341,Qayaliq,,,Old84,
Old93,New106,Old93,Qum,,,Old121,
Old408,New107,Old408,Qamishli,,,Old121,
Old317,New108,Old317,Osh,,,Old276,
Old241,New109,Old241,Nishapur,,,Old176,
Old305,New109,Old305,Nishapur,,,Old176,
Old187,New11,Old187,Bijar,,,Old72,
Old154,New110,Old154,Nineveh,,,Old9,
Old261,New110,Old261,Niniveh,,,Old9,
Old444,New110,Old444,Nineveh,,,Old43,
Old240,New111,Old240,Navekath,,,Old415,
Old330,New111,Old330,Navekath,,,Old415,
Old252,New112,Old252,"Zhenjiang 鎮江,",,,Old273,
Old251,New113,Old251,Yangzhou 揚州,,,Old53,
Old255,New114,Old255,Xiapu 霞浦 (in northern Fujian),,,Old23,
Old250,New115,Old250,Xi’an 西安 (Chang’an 長安),,,Old23,
Old371,New115,Old371,Chang’an/Xi’an,,,Old44,
Old249,New116,Old249,Ulaan Tolgoi,,,Old60,
Old379,New116,Old379,Ulaan Tolgoi,,,Old95,
Old248,New117,Old248,Turfan,,,Old3,
Old370,New117,Old370,Turfan,,,Old3,
Old492,New118,Old492,Trebizond,,,Old391,
Old309,New119,Old309,Yarkand,,,Old429,
Old188,New12,Old188,Bokan,,,Old226,
Old318,New120,Old318,Uzgand,,,Old226,
Old375,New121,Old375,Urgut,,,Old230,
Old292,New122,Old292,Tella,,,Old230,
Old450,New122,Old450,Tella/Constantina,,,Old376,
Old454,New122,Old454,Constantina/Tella,,,Old177,
Old247,New123,Old247,Tashkent,,,Old177,
Old322,New123,Old322,Tashkent,,,Old394,
Old339,New124,Old339,Talgar,,,Old471,
Old337,New125,Old337,Talas/Taraz,,,Old139,
Old490,New126,Old490,Sis,,,Old139,
,New127,#N/A,#N/A,,,Old400,
,New128,#N/A,#N/A,,,Old430,
Old381,New129,Old381,Tel-Bashir,,,Old452,
Old189,New13,Old189,Challa,,,Old472,
Old236,New130,Old236,Kashgar,,,Old361,
Old312,New130,Old312,Kashgar,,,Old361,
Old505,New131,Old505,Kandanad,,,Old51,
Old324,New132,Old324,Korla,,,Old501,
Old102,New133,Old102,Homs,,,Old501,
Old402,New133,Old402,Homs,,,Old502,
Old441,New133,Old441,Emesa,,,Old140,
Old235,New134,Old235,Herat,,,Old140,
Old372,New134,Old372,Herat,,,Old2,
Old500,New134,Old500,Herat,,,Old257,
Old234,New135,Old234,Dunhuang 敦煌,,,Old431,
Old315,New135,Old315,Dunhuang,,,Old453,
Old139,New136,Old139,Amida,,,Old432,
Old400,New136,Old400,Diyarbakir,,,Old432,
Old430,New136,Old430,Amida,,,Old334,
Old452,New136,Old452,Amida,,,Old334,
Old472,New136,Old472,Amid,,,Old321,
Old230,New137,Old230,Almaliq,,,Old321,
Old376,New137,Old376,Almaliq,,,Old180,
Old501,New138,Old501,Ankamaly,,,Old180,
Old502,New138,Old502,Ankamaly,,,Old11,
Old226,New139,Old226,Alexandria,,,Old11,
Old191,New14,Old191,Diyana,,,Old141,
Old160,New140,Old160,Zeugma,,,Old181,
Old432,New141,Old432,Apamea,,,Old259,
Old306,New142,Old306,Balkh,,,Old473,
Old397,New143,Old397,Beirut,,,Old83,
Old433,New143,Old433,Berytus,,,Old412,
Old348,New144,Old348,Besh-baliq,,,Old412,
Old266,New145,Old266,Bostra,,,Old85,
Old434,New145,Old434,Bostra,,,Old122,
Old232,New146,Old232,Bukhara,,,Old122,
Old313,New146,Old313,Bukhara,,,Old142,
Old332,New147,Old332,Burana,,,Old142,
Old435,New148,Old435,Caesarea Maritima,,,Old24,
Old233,New149,Old233,Chifeng 赤峰,,,Old274,
Old328,New149,Old328,Chifeng,,,Old274,
Old192,New15,Old192,Dobe,,,Old275,
Old503,New150,Old503,Cochin,,,Old275,
Old269,New151,Old269,Dura Europos,,,Old357,
Old51,New152,Old51,Anbar,,,Old357,
Old275,New153,Old275,Babylon,,,Old301,
Old395,New154,Old395,Baquba,,,Old301,
Old274,New155,Old274,Assur,,,Old25,
Old253,New156,Old253,Fengzhou 豐州 (Hohhot),,,Old25,
Old319,New156,Old319,Hohhot,,,Old476,
Old254,New157,Old254,Guangzhou 廣州,,,Old227,
Old513,New158,Old513,Goa,,,Old227,
Old401,New159,Old401,Hakkari,,,Old369,
Old469,New159,Old469,Hakkari,,,Old396,
Old194,New16,Old194,Gawar (Yüksekova),,,Old474,
Old415,New160,Old415,Hassake,,,Old74,
Old272,New161,Old272,Hatra,,,Old78,
Old279,New161,Old279,Ḥaṭrā,,,Old41,
Old271,New162,#N/A,Hamath,added to xml,,Old41,
Old325,New163,Old325,Luntai (Bügür),,,Old332,
Old509,New164,Old509,Mylapore,,,Old332,
Old64,New164,Old64,Nahargur,,,Old240,
Old512,New165,Old512,Trichur,,,Old332,
Old321,New166,Old321,Aqsu,,,Old240,
Old334,New167,Old334,Aq-Beshim,,,Old330,
Old276,New168,Old276,Adummatu,,,Old306,
Old143,New169,Old143,Bazyan,,,Old306,
Old195,New17,Old195,Gawilan,,,Old340,
Old475,New170,Old475,Beth Sbirino,,,Old340,
Old438,New171,Old438,Cyrrhus,,,Old182,
Old413,New172,Old413,Estil,,,Old182,
Old303,New173,Old303,Gilgit,,,Old161,
,New174,#N/A,#N/A,,,Old161,
,New175,#N/A,#N/A,,,Old183,
Old65,New176,Old65,Gurgan,,,Old183,
Old53,New177,Old53,Hirta,,,Old449,
Old70,New178,Old70,Karka d'Ledan,,,Old449,
Old73,New179,Old73,Karka d'Maishan,,,Old184,
Old196,New18,Old196,Ḥalabja,,,Old184,
Old349,New180,Old349,Koshang (Olon Süme-in Tor),,,Old447,
Old507,New181,Old507,Kottayam,,,Old447,
Old104,New182,Old104,Maʿarat Saidnaya,,,Old162,
Old405,New182,Old405,Maʿarat Saidnaya,,,Old162,
Old340,New183,Old340,Bars-köl,,,Old143,
Old62,New184,Old62,Beth Daraye,,,Old143,
Old479,New185,Old479,Ḥaḥ,,,Old395,
Old333,New186,Old333,Karajigach,,,Old395,
Old151,New187,Old151,Khārg island,,,Old231,
Old110,New188,Old110,Mār Mattai,,,Old231,
Old483,New189,Old483,Manṣuriyya,,,Old314,
Old197,New19,Old197,Hertevin,,,Old397,
Old459,New190,Old459,Mar Awgen,,,Old397,
Old96,New191,Old96,Mar Musa al-Habashi,,,Old433,
Old109,New192,Old109,Mar Saba,,,Old348,
,New193,#N/A,#N/A,,,Old348,
Old336,New194,Old336,Mirki,,,Old185,
Old323,New195,Old323,Mizdaxkan,,,Old185,
Old107,New196,Old107,Bēth-‘Abē,,,Old123,
Old458,New197,Old458,Dayr al-Zaʿfaran,,,Old123,
Old97,New198,Old97,"Dayr Mar Elian, Qaryatayn",,,Old81,
Old98,New199,Old98,Dayr Yakub,,,Old33,
Old177,New2,Old177,Alqosh,,,Old62,
Old394,New2,Old394,Alqosh,,,Old62,
Old471,New2,Old471,Alqosh,,,Old37,
Old198,New20,Old198,Jubbʿadīn,,,Old37,
Old50,New200,Old50,ʿUkbara,,,Old125,
Old285,New201,Old285,Enaton,,,Old14,
,New202,#N/A,#N/A,,,Old149,
,New203,#N/A,#N/A,,,Old82,
,New204,#N/A,#N/A,,,Old144,
,New205,#N/A,#N/A,,,Old20,
,New206,#N/A,#N/A,,,Old228,
,New207,#N/A,#N/A,,,Old77,
,New208,#N/A,#N/A,,,Old16,
,New209,#N/A,#N/A,,,Old16,
Old199,New21,Old199,Karemlesh,,,Old80,
Old482,New21,Old482,Karamlish,,,Old368,
,New210,#N/A,#N/A,,,Old131,
,New211,#N/A,#N/A,,,Old131,
,New212,#N/A,#N/A,,,Old76,
,New213,#N/A,#N/A,,,Old19,
,New214,#N/A,#N/A,,,Old19,
,New215,#N/A,#N/A,,,Old75,
,New216,#N/A,#N/A,,,Old475,
,New217,#N/A,#N/A,,,Old475,
,New218,#N/A,#N/A,,,Old107,
,New219,#N/A,#N/A,,,Old107,
Old200,New22,Old200,Kerend,,,Old186,
,New220,#N/A,#N/A,,,Old187,
,New221,#N/A,#N/A,,,Old187,
,New222,#N/A,#N/A,,,Old364,
,New223,#N/A,#N/A,,,Old364,
,New224,#N/A,#N/A,,,Old163,
,New225,#N/A,#N/A,,,Old163,
,New226,#N/A,#N/A,,,Old188,
,New227,#N/A,#N/A,,,Old188,
,New228,#N/A,#N/A,,,Old266,
,New229,#N/A,#N/A,,,Old266,
Old201,New23,Old201,Khanaqin,,,Old434,
,New230,#N/A,#N/A,,,Old325,
,New231,#N/A,#N/A,,,Old232,
,New232,#N/A,#N/A,,,Old232,
,New233,#N/A,#N/A,,,Old313,
,New234,#N/A,#N/A,,,Old435,
,New235,#N/A,#N/A,,,Old435,
,New236,#N/A,#N/A,,,Old265,
,New237,#N/A,#N/A,,,Old265,
,New238,#N/A,#N/A,,,Old278,
,New239,#N/A,#N/A,,,Old436,
Old202,New24,Old202,Khorramshahr,,,Old89,
,New240,#N/A,#N/A,,,Old365,
,New241,#N/A,#N/A,,,Old365,
,New242,#N/A,#N/A,,,Old189,
,New243,#N/A,#N/A,,,Old189,
,New244,#N/A,#N/A,,,Old250,
,New245,#N/A,#N/A,,,Old250,
,New246,#N/A,#N/A,,,Old371,
,New247,#N/A,#N/A,,,Old509,
,New248,#N/A,#N/A,,,Old509,
,New249,#N/A,#N/A,,,Old64,
Old203,New25,Old203,Koy Sanjak,,,Old233,
,New250,#N/A,#N/A,,,Old233,
Old44,New251,Old44,Shenna d'Beth Ramman,,,Old328,
Old52,New252,Old52,Nifr,,,Old465,
,New253,#N/A,#N/A,,,Old465,
,New254,#N/A,#N/A,,,Old362,
