NewRef,New_ID,New_ID_Bis,Old-ID,CurrentLabel,Current+,Current-no-macrons,Revise,RevisedLabel,RevisedLabel-no-macrons,TC-Notes,Status,Julia,Stephanie,Notes-From-Ian,NewNotes4/26,Notes-4-Ian,My-Notes,Other_Name,Monastery,Multiple,Arabic-Name,URIs,Syriaca_ID,Syriaca_Name,02-03,04-05,6,7,8,9,10-11,12-13,14,15,16-17,18,19
1,562,New562,#N/A,Abila,Abila,Abila,FALSE,,,,FINAL,,,,,,,,,,,https://en.wikipedia.org/wiki/Abila_Lysaniou,,#N/A,02-03,,,7,,,,,,,,,
2,502,New502,Old121,ADIABENE,ADIABENE,ADIABENE,FALSE,,ADIABENE/ḤADYAB,Do we want to add the Syriac name Ḥadyab?,LABEL REV.,,,,Could we add the Syriac name Ḥadyab? on 04-05,,,,,,,,http://syriaca.org/place/993,Adiabene,02-03,,,,,,10-11,,,,,,19
3,#N/A,#N/A,#N/A,Adumattu/Dumatha,Adumattu/Dumatha,Adumattu/Dumatha,FALSE,Adummatu/Dumatha,Adummatu/Dumatha,,LABEL REV.,,,,,,"Syriac names in Knauf, Ernst Axel. “Ismael 2nd. Edition 1989.” Accessed 
April 3, 2017. https://www.academia.edu/6453484/Ismael_2nd._edition_1989.",,,,,https://vici.org/vici/21425/,,#N/A,02-03,,,,,,,,,,,,
4,#N/A,#N/A,#N/A,Adurbadagan,Adurbadagan,Adurbadagan,Adurbadagan,Adurbadagan,Adurbadagan/Ardabil,,FINAL,,,,Okay to keep on 02-03,,,,,,,,,#N/A,02-03,,,,,,,,,,,,
5,#N/A,#N/A,#N/A,Amaseia,Amaseia,Amaseia,FALSE,,,,FINAL,,,,,,,,,,,https://pleiades.stoa.org/places/857018,http://syriaca.org/place/292,#N/A,02-03,,,,,,,,,,,,
6,#N/A,#N/A,#N/A,Amida,Amida,Amida,FALSE,,,,FINAL,,,,,,,,,,,,http://syriaca.org/place/8,Amida,02-03,,,,,,,,,,,,
8,#N/A,#N/A,#N/A,Ancyra,Ancyra,Ancyra,FALSE,,,,FINAL,,,,,,,,,,,,http://syriaca.org/place/494,#N/A,02-03,,,,,,,,,,,,
9,#N/A,#N/A,#N/A,Anemurium,Anemurium,Anemurium,FALSE,,,,FINAL,,,,Okay to keep,We can save space and delete this.,,,,,,,,#N/A,02-03,,6,,,,,,,,,,
10,232,New232,,Ani,Ani,Ani,FALSE,,,,FINAL,,,,,,,,,,,https://pleiades.stoa.org/places/863739,,#N/A,02-03,04-05,,,,,,,,,,,
11,46,New46,Old140,Antioch,Antioch,Antioch,FALSE,,,,FINAL,,,,,,,,,,,,http://syriaca.org/place/10,Antioch,02-03,04-05,6,,,,,,,,,,
12,141,New141,Old432,Apamea,Apamea,Apamea,FALSE,,,,FINAL,,,,,,,,,,,,http://syriaca.org/place/11,Apamea,02-03,,6,,,,,,,,,,
13,#N/A,#N/A,#N/A,Araxes R.,Araxes R.,Araxes R.,FALSE,,,,FINAL,,,,,,,,,,,https://pleiades.stoa.org/places/884118,,#N/A,02-03,04-05,,,,,10-11,,,,,,
14,#N/A,#N/A,#N/A,Arbela,Arbela,Arbela,FALSE,,,,FINAL,,,,,,,,,,,,http://syriaca.org/place/13,Arbela,02-03,,,,,,,,,,,,
15,405,New405,Old412,ARMENIA,ARMENIA,ARMENIA,FALSE,,,,REVISE,,,,,"Fine on most maps, could be deleted on map 14 to save space?",,,,,,,http://syriaca.org/place/576,Armenia,02-03,04-05,,,,,10-11,,14,,,,
16,#N/A,#N/A,#N/A,Arsamosata,Arsamosata,Arsamosata,FALSE,,,,FINAL,,,,,,,,,,,,http://syriaca.org/place/286,#N/A,02-03,,,,,,,,,,,,
17,229,New229,,Artashat,Artashat,Artashat,FALSE,Artaxata,Artaxata,,LABEL REV.,,,,,,,,,,,https://pleiades.stoa.org/places/874361,,#N/A,02-03,,,,,,,,,,,,
18,#N/A,#N/A,#N/A,Arzon,Arzon,Arzon,FALSE,Arzun,Arzun,,LABEL REV.,,,,,,,,,,,,http://syriaca.org/place/285,Arzun,02-03,,,,,,,,,,,,
19,#N/A,#N/A,#N/A,Ascalon,Ascalon,Ascalon,FALSE,,,,FINAL,,,,,,,,,,,,http://syriaca.org/place/674,#N/A,02-03,04-05,,,8,,,,,,,,
20,#N/A,#N/A,#N/A,Ashtishat,Ashtishat,Ashtishat,FALSE,,,,FINAL,,,,,,,,,,,https://pleiades.stoa.org/places/874369,,#N/A,02-03,,,,,,10-11,,,,,,
21,155,New155,Old274,Assur,Assur,Assur,FALSE,Ashur,Ashur,,LABEL REV.,,,,,,,,,,,https://en.wikipedia.org/wiki/Assur,,#N/A,02-03,,,,,,10-11,12-13,,,,,
22,#N/A,#N/A,#N/A,ATROPATENE,ATROPATENE,ATROPATENE,FALSE,,,,FINAL,,,,,,,,,,,https://pleiades.stoa.org/places/874597,,#N/A,02-03,,,,,,,,,,,,
23,153,New153,Old275,Babylon,Babylon,Babylon,FALSE,,,,FINAL,,,,,,,,,,,http://pleiades.stoa.org/places/893951,,#N/A,02-03,,,,,,,12-13,14,,,,
24,#N/A,#N/A,#N/A,Balanea,Balanea,Balanea,FALSE,,,,FINAL,,,,,,,,,,,https://pleiades.stoa.org/places/668206,,#N/A,02-03,,,,,,,,,,,,
25,#N/A,#N/A,#N/A,Beroea,Beroea/Aleppo,Beroea,Revise,Beroea/Aleppo,Beroea/Aleppo,,LABEL REV.,,,,,,,,,,,https://pleiades.stoa.org/places/658409,http://syriaca.org/place/18,Aleppo,02-03,,,,,,,,,,,,
26,#N/A,#N/A,#N/A,Berytus,Berytus,Berytus,FALSE,,,,FINAL,,,,,,,,,,,,http://syriaca.org/place/46,Beirut,02-03,,,,,,,,,,,,
27,184,New184,Old62,Beth Daraye,Beth Daraye,Beth Daraye,FALSE,Beth Daraye,Beth Daraye,,FINAL,,,"this is actually a site, ancient Der, modern Badrah.","Agree, please leave as settlement.","This is a region, not a settlement, but the location of the point is correct on the map, see http://www.iranicaonline.org/articles/be-daraye Please add to map 12-13","Wilmshurst has this in a different location, but this location agrees with Encyclopedia Iranica and Fiey",,,,,http://www.iranicaonline.org/articles/be-daraye,,#N/A,02-03,04-05,,,,,,12-13,,,,,
28,#N/A,#N/A,#N/A,Beth Lapaṭ,Beth Lapaṭ,Beth Lapaṭ,FALSE,,,,FINAL,,,,,,,,,,,,http://syriaca.org/place/35,Beth Lapaṭ,02-03,,,,,,,,,,,,
29,#N/A,#N/A,#N/A,Beth Zabdai,Beth Zabdai,Beth Zabdai,FALSE,BETH ZABDAI,BETH ZABDAI,,REVISE,,,"again, prefer to keep as site, as it is more specific and takes up less space, it is more economic and more specific to keep this label for the site rather than the region. If we have the site, we can locate the region; if we have the region, we cannot locate the site. And site labels take up less space. Also, if we were to make it a regional label, would it not be preferable to use the classical form Zabdicene (like Adiabene) for this map?","Okay to keep as a settlement point, but please flip the label to the West/South side of the 
Tigris so that it falls on the region it names. If possible, for 10-11 please add as a point at 37.341667, 41.891667 (where you have it on 19) with the name Azakh instead of Beth Zabdai. Finally on 19 please just list it as Azakh since space is tight there. ",,"https://en.wikipedia.org/wiki/Azakh, https://en.wikipedia.org/wiki/%C4%B0dil, NOT THE SAME AS http://www.ishtartv.com/en/viewarticle,36428.html",,,,,,http://syriaca.org/place/39,#REF!,02-03,04-05,,,,,,,,,,,19
30,400,New400,Old364,Black Sea,Black Sea,Black Sea,FALSE,,,,FINAL,,,,,,,,,,,,http://syriaca.org/place/503,Black Sea,02-03,04-05,,,,,,,,,,,
31,145,New145,Old266,Bostra,Bostra,Bostra,FALSE,Bostra/Boṣra,Bostra/Boṣra,,LABEL REV.,,,,,"This is the preferred format, eg. Greek and Syriac transliteration",,,,,,,http://syriaca.org/place/40,Bostra,02-03,,,,8,,,,,,,,
32,307,New307,,Byblos,Byblos,Byblos,FALSE,,,,FINAL,,,,,,,,,,,,http://syriaca.org/place/52,#N/A,02-03,,,,,,,,,,,,
33,#N/A,#N/A,#N/A,Caesarea,Caesarea,Caesarea,FALSE,,,,FINAL,,,,,,,,,,,,http://syriaca.org/place/60,#N/A,02-03,,,,,,,,,,,,
34,148,New148,Old435,Caesarea Maritima,Caesarea Maritima,Caesarea Maritima,FALSE,,,,FINAL,,,,,,,,,,,,http://syriaca.org/place/53,Caesarea,02-03,,,,8,,,,,,,,
35,#N/A,#N/A,#N/A,Caesarea Philippi,Caesarea Philippi,Caesarea Philippi,FALSE,,,,FINAL,,,,,,,,,,,http://pleiades.stoa.org/places/678324,,#N/A,02-03,,,,,,,,,,,,
36,#N/A,#N/A,#N/A,Camacha,Camacha,Camacha,FALSE,Camacha,Camacha,Prefer Kamākh (Arabic transliteration rather than modern Turkish)?,FINAL,,,the modern Turkish name seems inappropriate as a replacement for the Classical one on this map,"Agree, let's split the difference and use Camacha on 02-03 and the Arabic Kamakh on the other maps.",Please use this form on 02-03,,,,,,https://pleiades.stoa.org/places/874322,,#N/A,02-03,,,,,,,,,,,,
37,#N/A,#N/A,#N/A,Canatha,Canatha,Canatha,FALSE,Philippopolis,Philippopolis,,REVISE,,,,,Please replace with Philippopolis which has approximately the same coordinates: http://syriaca.org/place/158,,,,,,,http://syriaca.org/place/158,#N/A,02-03,,,,8,,,,,,,,
38,486,New486,,CAPPADOCIA,CAPPADOCIA,CAPPADOCIA,FALSE,,,,FINAL,,,,,,,,,,,,http://syriaca.org/place/54,#N/A,02-03,,,,,,,,,,,,
39,#N/A,#N/A,#N/A,Carrhae,Carrhae,Carrhae,FALSE,Ḥarran,Carrhae/Ḥarran,,LABEL REV.,,,,,,,,,,,,http://syriaca.org/place/216,Ḥarran,02-03,,,,,,,,,,,,
40,398,New398,Old365,Caspian Sea,Caspian Sea,Caspian Sea,FALSE,,,,FINAL,,,,,,,,,,,,http://syriaca.org/place/61,Caspian Sea,02-03,04-05,,,,,,,14,,,,
41,#N/A,#N/A,#N/A,Chalcis,Chalcis,Chalcis,FALSE,Chalcis/Qenneshrin,Chalcis/Qenneshrin,,LABEL REV.,,,,,,,,,,,,http://syriaca.org/place/162,#N/A,02-03,,,,,,,,,,,,
42,485,New485,,CILICIA,CILICIA,CILICIA,FALSE,,,,FINAL,,,,,,,,,,,,http://syriaca.org/place/55,#N/A,02-03,,6,,,,,,,,,,
