Old-ID,NEW,Map,Old Name,New Name,Deprecated
Old176,New1,,Ahvāz,#N/A,
Old72,New1,,Ahwaz,#REF!,
Old186,New10,,Bədyal,#REF!,
Old410,New100,,Semele,#REF!,
Old101,New101,,Resafa,#REF!,
Old448,New101,,Sergiopolis/Resafa,#REF!,
Old327,New102,,Qarashahr,#REF!,
Old310,New103,,Qarshi,#REF!,
Old94,New104,,Qashan,#REF!,
Old341,New105,,Qayaliq,#REF!,
Old93,New106,,Qum,#REF!,
Old408,New107,,Qamishli,#REF!,
Old317,New108,,Osh,#REF!,
Old241,New109,,Nishapur,#REF!,
Old305,New109,,Nishapur,#REF!,
Old187,New11,,Bijar,#REF!,
Old154,New110,,Nineveh,#REF!,
Old261,New110,,Niniveh,#REF!,
Old444,New110,,Nineveh,#REF!,
Old240,New111,,Navekath,#REF!,
Old330,New111,,Navekath,#REF!,
Old252,New112,,"Zhenjiang 鎮江,",#REF!,
Old251,New113,,Yangzhou 揚州,#REF!,
Old255,New114,,Xiapu 霞浦 (in northern Fujian),#REF!,
Old250,New115,,Xi’an 西安 (Chang’an 長安),#REF!,
Old371,New115,,Chang’an/Xi’an,#REF!,
Old249,New116,,Ulaan Tolgoi,#REF!,
Old379,New116,,Ulaan Tolgoi,#REF!,
Old248,New117,,Turfan,#REF!,
Old370,New117,,Turfan,#REF!,
Old492,New118,,Trebizond,#REF!,
Old309,New119,,Yarkand,#REF!,
Old188,New12,,Bokan,#REF!,
Old318,New120,,Uzgand,#REF!,
Old375,New121,,Urgut,#REF!,
Old292,New122,,Tella,#REF!,
Old450,New122,,Tella/Constantina,#REF!,
Old454,New122,,Constantina/Tella,#REF!,
Old247,New123,,Tashkent,#REF!,
Old322,New123,,Tashkent,#REF!,
Old339,New124,,Talgar,#REF!,
Old337,New125,,Talas/Taraz,#REF!,
Old490,New126,,Sis,#REF!,
,New127,,#N/A,#REF!,
,New128,,#N/A,#REF!,
Old381,New129,,Tel-Bashir,#REF!,
Old189,New13,,Challa,#REF!,
Old236,New130,,Kashgar,#REF!,
Old312,New130,,Kashgar,#REF!,
Old505,New131,,Kandanad,#REF!,
Old324,New132,,Korla,#REF!,
Old102,New133,,Homs,#REF!,
Old402,New133,,Homs,#REF!,
Old441,New133,,Emesa,#REF!,
Old235,New134,,Herat,#REF!,
Old372,New134,,Herat,#REF!,
Old500,New134,,Herat,#REF!,
Old234,New135,,Dunhuang 敦煌,#REF!,
Old315,New135,,Dunhuang,#REF!,
Old139,New136,,Amida,#REF!,
Old400,New136,,Diyarbakir,#REF!,
Old430,New136,,Amida,#REF!,
Old452,New136,,Amida,#REF!,
Old472,New136,,Amid,#REF!,
Old230,New137,,Almaliq,#REF!,
Old376,New137,,Almaliq,#REF!,
Old501,New138,,Ankamaly,#REF!,
Old502,New138,,Ankamaly,#REF!,
Old226,New139,,Alexandria,#REF!,
Old191,New14,,Diyana,#REF!,
Old160,New140,,Zeugma,#REF!,
Old432,New141,,Apamea,#REF!,
Old306,New142,,Balkh,#REF!,
Old397,New143,,Beirut,#REF!,
Old433,New143,,Berytus,#REF!,
Old348,New144,,Besh-baliq,#REF!,
Old266,New145,,Bostra,#REF!,
Old434,New145,,Bostra,#REF!,
Old232,New146,,Bukhara,#REF!,
Old313,New146,,Bukhara,#REF!,
Old332,New147,,Burana,#REF!,
Old435,New148,,Caesarea Maritima,#REF!,
Old233,New149,,Chifeng 赤峰,#REF!,
Old328,New149,,Chifeng,#REF!,
Old192,New15,,Dobe,#REF!,
Old503,New150,,Cochin,#REF!,
Old269,New151,,Dura Europos,#REF!,
Old51,New152,,Anbar,#REF!,
Old275,New153,,Babylon,#REF!,
Old395,New154,,Baquba,#REF!,
Old274,New155,,Assur,#REF!,
Old253,New156,,Fengzhou 豐州 (Hohhot),#REF!,
Old319,New156,,Hohhot,#REF!,
Old254,New157,,Guangzhou 廣州,#REF!,
Old513,New158,,Goa,#REF!,
Old401,New159,,Hakkari,#REF!,
Old469,New159,,Hakkari,#REF!,
Old194,New16,,Gawar (Yüksekova),#REF!,
Old415,New160,,Hassake,#REF!,
Old272,New161,,Hatra,#REF!,
Old279,New161,,Ḥaṭrā,#REF!,
Old271,New162,,Hamath,#REF!,
Old325,New163,,Luntai (Bügür),#REF!,
Old509,New164,,Mylapore,#REF!,
Old64,New164,,Nahargur,#REF!,
Old512,New165,,Trichur,#REF!,
Old321,New166,,Aqsu,#REF!,
Old334,New167,,Aq-Beshim,#REF!,
Old276,New168,,Adummatu,#REF!,
Old143,New169,,Bazyan,#REF!,
Old195,New17,,Gawilan,#REF!,
Old475,New170,,Beth Sbirino,#REF!,
Old438,New171,,Cyrrhus,#REF!,
Old413,New172,,Estil,#REF!,
Old303,New173,,Gilgit,#REF!,
,New174,,#N/A,#REF!,
,New175,,#N/A,#REF!,
Old65,New176,,Gurgan,#REF!,
Old53,New177,,Hirta,#REF!,
Old70,New178,,Karka d'Ledan,#REF!,
