DNU,Place Name,Syriaca-Name,Check with author,Syriaca-URI,ID_Number,Pleiades,Geonames,Wikipedia,Viaf,DARE,geonames.nga.mil,DAI,Iranica,Other,Place_Type_from_working-data,DNU,"Syriaca,DD",DNU,Draft_Coordinates_DMS,DNU,Draft_Coordinates_DD,Apprx,Source,UniqueID_from_working-data,OtherID_from_working-data,GazetterNote_from_working-data,Notes_from_working-data,Date Range,Requested-by_from_working-data,RelatedChapter_from_working-data,Scope,Existence_Date,DNU,Map#
,Damascus,,,,Old1,,,,,,,,,,Diocese (Diocese (Archdiocese)),,"33.513,36.292",,,,,,http://syriaca.org/place/66,,,,duplicate,,David Wilmshurst,Church of the East,Mesopotamia,400-2016,Old1,1
Old2,Antioch,,,,Old2,,,,,,,,,,Diocese (Diocese (Archdiocese)),Old2,"36.2,36.15",Old2,,Old2,,,http://syriaca.org/place/10,,,,duplicate,,David Wilmshurst,Church of the East,Mesopotamia,400-2016,Old2,1
Old3,Aleppo,,,http://syriaca.org/place/2245,Old3,,,,,,,,,,Diocese (Diocese (Archdiocese)),Old3,"36.21667,37.16667",Old3,,Old3,,,http://syriaca.org/place/18,,,,There are two diocese locations (w/o coordinates) in the Gazetteer,,David Wilmshurst,Church of the East,Mesopotamia,400-2016,Old3,1
Old4,Mopsuestia,,,http://syriaca.org/place/2345,Old4,,,,,,,,,,Diocese (Diocese (Archdiocese)),Old4,"36.95,35.58333",Old4,,Old4,,,http://syriaca.org/place/138,,,,duplicate,,David Wilmshurst,Church of the East,Mesopotamia,400-2016,Old4,1
Old5,Mabbugh,,,,Old5,,,,,,,,,,Diocese (Diocese (Archdiocese)),Old5,"36.53333,37.95",Old5,,Old5,,,http://syriaca.org/place/122,,,,duplicate,,David Wilmshurst,Church of the East,Mesopotamia,400-2016,Old5,1
Old6,Melitene,,,,Old6,,,,,,,,,,Diocese (Diocese (Archdiocese)),Old6,"38.34767,38.31463",Old6,,Old6,,,http://syriaca.org/place/136,,,,duplicate,,David Wilmshurst,Church of the East,Mesopotamia,400-2016,Old6,1
Old7,Maiperqat,,,,Old7,,,,,,,,,,Diocese (Diocese (Archdiocese)),Old7,"38.1427855,41.003257",Old7,,Old7,,,http://syriaca.org/place/134,,,,,,David Wilmshurst,Church of the East,Mesopotamia,400-2016,Old7,1
Old8,Hesna d'Kifa,,,,Old8,,,,,,,,,,Diocese (Diocese (Archdiocese)),Old8,"37.714167,41.413056",Old8,,Old8,,,http://syriaca.org/place/92,,,,,,David Wilmshurst,Church of the East,Mesopotamia,400-2016,Old8,1
Old9,Akhlat,,,http://syriaca.org/place/2312,Old9,,,,,,,,,,Diocese (Diocese (Archdiocese)),Old9,"38.752778,42.494444",Old9,,Old9,,,http://syriaca.org/place/17,,,,,,David Wilmshurst,Church of the East,Mesopotamia,400-2016,Old9,1
Old10,Nisibis,,,http://syriaca.org/place/2332,Old10,,,,,,,,,,Diocese (Diocese (Archdiocese)),Old10,"37.06667,41.21667",Old10,,Old10,,,http://syriaca.org/place/142,,,,Need to confirm Gazetteer entry is correct,,David Wilmshurst,Church of the East,Mesopotamia,400-2016,Old10,1
