Label,Region,See_Also,Comments,NewRef_ID_NO,Syriaca_URI,Map_1,Map_2,Map_3,Map_4,Map_5,Map_6,Map_7,Map_8,Map_9,Map_10,Map_11,Map_13,Map_14,Map_12
Antioch,,,,11,syriaca.org/place/10,1,2,3,,,,,,,,,,,
"Izla, Mount",,,,720,syriaca.org/place/100,,,,,,,,,,,,,14,
Jerusalem,,,,79,syriaca.org/place/104,1,2,,,5,,,,,,,,,
Julamerk,,Hakkari,,193,syriaca.org/place/107,,,,,,,7,,,,,,14,
Karka d-Beth Slokh,,Kirkuk,,81,syriaca.org/place/108,1,,,,,,7,,,,,,,
Kirkuk,,Karka d-Beth Slokh,,214,syriaca.org/place/108,,2,,,,,7,,,,,,,
al-Raqqa,,Callinicum,change alpha,237,syriaca.org/place/109,,2,,,,,7,,,,,,,
Callinicum,,al-Raqqa,,237,syriaca.org/place/109,,2,,,,,7,,,,,,,
Apamea,,,,12,syriaca.org/place/11,1,,3,,,,,,,,,,,
Karemlesh,,,,710,syriaca.org/place/110,,,,,,,,,,,,,14,
Kashkar,,Wasiṭ,,84,syriaca.org/place/111,1,,,,,,,8,9,,,,,
Khabur River,,,,404,syriaca.org/place/114,1,2,,,,,7,,,,,,14,
"Urmi, Lake",,"Urmia, Lake",,88,syriaca.org/place/116,,,,,,,,,,,,,14,
"Urmia, Lake",,"Urmi, Lake",,88,syriaca.org/place/116,1,2,,,,,7,,9,,,,,
Diyana,,,,697,syriaca.org/place/1169,,,,,,,,,,,,,14,
"Van, Lake",,,,89,syriaca.org/place/117,1,2,,,,,7,,9,,,,14,
Laodicea,,Latakia,,90,syriaca.org/place/118,1,,3,,,,,,,,,,,
Latakia,,Laodicea,,217,syriaca.org/place/118,,2,3,,,,,,,,,,,
Larissa,,Shayzar,,281,syriaca.org/place/119,,,3,,,,,,,,,,,
"Zab River, Little",,,,405,syriaca.org/place/121,1,2,,,,,7,,,,,,,
Hierapolis,,"Mabbug, Manbij",,73,syriaca.org/place/122,1,,3,,,,7,,,,,,,
Manbij,,"Hierapolis, Mabbug",,219,syriaca.org/place/122,,2,,,,,,,,,,,,
Mabbug,,"Hierapolis, Manbij",,278,syriaca.org/place/122,1,2,3,,,,7,,,,,,,
Maishan,Y,,,92,syriaca.org/place/123,1,,,,,,,8,,,,,,
Maragha,,,,223,syriaca.org/place/129,,2,,,,,7,,9,,,,,
Arbel,,"Arbela, Erbil",,14,syriaca.org/place/13,,,,,,,,,,,,,14,
Arbela,,"Arbel, Erbil",,14,syriaca.org/place/13,1,2,,,,,7,,,,,,,
Erbil,,"Arbel, Arbela",,188,syriaca.org/place/13 ,,2,,,,,7,,9,,,,,
Mardin,,,,224,syriaca.org/place/130,,2,,,,,7,,,,,,14,
Martyropolis,,"Maipherqaṭ, Mayyafariqin, Silvan",,94,syriaca.org/place/134,1,,,,,,7,,,,,,,
Maipherqaṭ,,"Martyropolis, Mayyafariqin, Silvan",,220,syriaca.org/place/134,1,2,,,,,7,,,,,,14,
Mayyafariqin,,"Maipherqaṭ, Martyropolis, Silvan",,220,syriaca.org/place/134,,2,,,,,7,,,,,,,
Silvan,,"Maipherqaṭ, Martyropolis, Mayyafariqin",,220,syriaca.org/place/134,,,,,,,,,,,,,14,
Mediterranean Sea,,,,96,syriaca.org/place/135,1,2,3,4,5,,,,,,,,,
Melitene,,Malaṭya,,97,syriaca.org/place/136,1,,,,,,7,,,,,,,
Malaṭya,,Melitene,,221,syriaca.org/place/136,,2,,,,,7,,,,,,,
