Label,Syriaca_Headword,See_Also,Syriaca_URI,Map_1,Map_2,Map_3,Map_4,Map_5,Map_6,Map_7,Map_8,Map_9,Map_10,Map_11,Map_12,Map_13,Map_14,Maps_CitedRange,Index_CitedRange
(New) Baṣra,(New) Baṣra,al-Ubulla,syriaca.org/place/4099,,,,,,,,8,9,,,,,,"8, 9",825
(Old) Baṣra,(Old) Baṣra,,syriaca.org/place/4057,,2,,,,,,8,9,,,,,,"2, 8, 9",825
(Old) Dongola,(Old) Dongola,,syriaca.org/place/4168,,,,,,6,,,,,,,,,6,827
(Old) Gurgan,(Old) Gurgan,,syriaca.org/place/4246,,,,,,,,,9,,,,,,9,827
Abila,Abila,,syriaca.org/place/4355,1,,,4,,,,,,,,,,,"1, 4",824
Abivard,Abivard,,syriaca.org/place/4222,,,,,,,,,9,,,,,,9,824
Abr Shahr,Abr Shahr,Nishapur,syriaca.org/place/4220,,,,,,,,,9,10,,,,,"9, 10",824
Acre,Acre,"ʿAkka, Akko, Ptolemaïs",syriaca.org/place/14,,2,,,5,,,,,,,,,,"2, 5",824
Aden,Aden,,syriaca.org/place/4143,,,,,,6,,,,,,,,,6,824
Adharbayjan,Adharbayjan,,syriaca.org/place/5,,2,,,,,,,9,,,,,,"2, 9",824
Adhorma,Adhorma,,syriaca.org/place/4448,,,,,,,,,,,,,,14,14,824
Adiabene,Adiabene,Ḥadyab,syriaca.org/place/993,1,,,,,,7,,,,,,,14,"1, 7, 14",824
Adulis,Adulis,Zula,syriaca.org/place/4144,,,,,,6,,,,,,,,,6,824
Adummatu,Adummatu,Dumatha,syriaca.org/place/4001,1,,,,,,,,,,,,,,1,824
Adurbadagan,Adurbadagan,Ardabil,syriaca.org/place/798,1,,,,,,,,,,,,,,1,824
Aḥmadabad,Aḥmadabad,,syriaca.org/place/4335,,,,,,,,,,,11,,,,11,824
Ahvaz,Ahvaz,Hormuz-Ardashir,syriaca.org/place/96,,2,,,,,,8,9,,,,,,"2, 8, 9",824
Akhlat,Akhlat,,syriaca.org/place/2312,,2,,,,,7,,,,,,,,"2, 7",824
Akhmim,Akhmim,Panopolis,syriaca.org/place/4169,,,,,,6,,,,,,,,,6,824
Akko,Akko,"Ptolemaïs, Acre, ʿAkka",syriaca.org/place/14,1,2,,,5,,,,,,,,,,"1, 2, 5",824
Aksum,Aksum,,syriaca.org/place/4146,,,,,,6,,,,,,,,,6,824
al-Bawazij,al-Bawazij,Beth Waziq,syriaca.org/place/806,,,,,,,7,8,,,,,,,"7, 8",825
al-Ḥasake,al-Ḥasake,,syriaca.org/place/213,,,,,,,7,,,,,,,14,"7, 14",828
al-Ḥijr,al-Ḥijr,Madaʾin Ṣaliḥ,syriaca.org/place/4147,,,,,,6,,,,,,,,,6,828
al-Hinna,al-Hinna,,syriaca.org/place/4474,,,,,,6,,,,,,,,,6,828
al-Ḥira,al-Ḥira,Ḥirta,syriaca.org/place/219,1,,,,,,,8,,,,,,,"1, 8",828
al-Jabiya,al-Jabiya,Ḥirta d-Ṭayyaye,syriaca.org/place/4025,1,,,,5,,,,,,,,,,"1, 5",828
al-Jawf,al-Jawf,,syriaca.org/place/4076,,2,,,,,,,,,,,,,2,828
al-Madaʾin,al-Madaʾin,"Maḥoze, Medinata",syriaca.org/place/4058,1,2,,,,,,8,,,,,,,"1, 2, 8",829
al-Nahrawan,al-Nahrawan,,syriaca.org/place/1560,,,,,,,,8,,,,,,,8,830
al-Nil,al-Nil,,syriaca.org/place/4201,,,,,,,,8,,,,,,,8,831
al-Nuʿmaniyya,al-Nuʿmaniyya,,syriaca.org/place/4215,,,,,,,,8,,,,,,,8,831
al-Qaṭif,al-Qaṭif,Ḥaṭṭa,syriaca.org/place/4156,,,,,,6,,,9,,,,,,"6, 9",831
al-Raqqa,al-Raqqa,Callinicum,syriaca.org/place/109,,2,,,,,7,,,,,,,,"2, 7",832
al-Ṣaymara,al-Ṣaymara,,syriaca.org/place/4202,,2,,,,,,8,,,,,,,"2, 8",832
al-Sinn,al-Sinn,"Shenna, Shenna d-Beth Raman",syriaca.org/place/869,,2,,,,,7,8,,,,,,,"2, 7, 8",832
al-Ubulla,al-Ubulla,(New) Baṣra,syriaca.org/place/4100,1,2,,,,,,8,,,,,,,"1, 2, 8",834
Alangad,Alangad,,syriaca.org/place/4503,,,,,,,,,,,,,13,,13,824
Aleppo,Aleppo,Beroea,syriaca.org/place/18,1,2,3,,,,,,,,,,,,"1, 2, 3",824
Alexandretta,Alexandretta,Iskenderun,syriaca.org/place/663,,2,3,,,,,,,,,,,,"2, 3",824
Alexandria,Alexandria,,syriaca.org/place/572,,,,,5,,,,,,,,,,5,824
Almaliq,Almaliq,,syriaca.org/place/796,,,,,,,,,,10,11,,,,"10, 11",824
Alqosh,Alqosh,,syriaca.org/place/19,,,,,,,,,,,,,,14,14,824
Altai Range,Altai Range,,syriaca.org/place/4336,,,,,,,,,,,11,,,,11,824
Amaseia,Amaseia,Amasya,syriaca.org/place/292,1,,,,,,,,,,,,,,1,824
Amasya,Amasya,Amaseia,syriaca.org/place/292,,2,,,,,,,,,,,,,2,824
Amida,Amida,Diyarbakir,syriaca.org/place/8,1,2,,,,,7,,,,,,,,"1, 2, 7",824
Amman,Amman,Philadelphia,syriaca.org/place/4061,,2,,,5,,,,,,,,,,"2, 5",824
Amol,Amol,,syriaca.org/place/4223,,,,,,,,,9,,,,,,9,824
Amu Darya River,Amu Darya River,Oxus River,syriaca.org/place/4224,,,,,,,,,9,10,11,,,,"9, 10, 11",824
Anamur,Anamur,Anemurium,syriaca.org/place/4003,,2,,,,,,,,,,,,,2,824
Anatolia,Anatolia,Asia Minor,syriaca.org/place/504,,2,3,,,,,,,,,,,,"2, 3",824
Anazarba,Anazarba,ʿAyn Zarba,syriaca.org/place/9,,2,3,,,,,,,,,,,,"2, 3",824
Anbar,Anbar,Piroz-Shapur,syriaca.org/place/211,,2,,,,,,8,,,,,,,"2, 8",824
Ancyra,Ancyra,Ankara,syriaca.org/place/494,1,,,,,,,,,,,,,,1,824
Anemurium,Anemurium,Anamur,syriaca.org/place/4003,1,,3,,,,,,,,,,,,"1, 3",824
Angamaly ,Angamaly ,,syriaca.org/place/666,,,,,,,,,,,,12,13,,"12, 13",824
