	Catalog pp# (volume#pages)	Wright’s Numeration DECODER	Wright’s Numeration XML	Lookup Decoder in XML	REDO		Catalog pp# (volume#pages)	Wright’s Numeration	Lookup Decoder in XML take 2	Lookup Decoder in Decoder	Arabic Numeration	Corrected Arabic Numeration	Wright’s Dating	"URI
[Next ID 1450]"				Who is primary?	State of coding	Edited by whom and when:	Editing questions and comments
Add. 14,466, foll. 11-17	1#67	C	CCXIV	C		Add. 14,466, foll. 11-17	1#67	C	C	C	100	100	Approx. 10c-11c	145				Daniel	Drafted and edited	Tucker, 12/21	
Add. 14,736, fol. 66	1#316	CCCCII	DVII	CCCCII		Add. 17,257, fol. 113	1#138	CC	CC	#N/A	200	200	Approx. 14c-15c	1068				Daniel	Framework established for a later stage		
Add. 17,207	1#365-366	CCCCLIII	cxliii	CCCCLIII		Add. 14,715, foll. 153-216	1#233-234	CCC	CCC	#N/A	300	300	Approx. 13c	589							
Add. 17,213, foll. 41, 42	1#367	CCCCLIX	cliii	CCCCLIX		Add. 14,739, fol. 23	1#316	CCCC	CCCC	#N/A	400	400	1483	726							
Add. 14,506, foll. 111-118	1#366	CCCCLV	CCLXIII	CCCCLV		Add. 14,667, foll. 76-78	1#316	CCCCI	CCCCI	#N/A	401	401	Approx. 10c-11c	482	213						
Add. 17,216, foll. 28-31	1#366	CCCCLVI	DXLII	CCCCLVI		Add. 14,736, fol. 66	1#316	CCCCII	CCCCII	CCCCII	#N/A	402	Approx. 16c	672				Will Potter	Drafted		
Add. 14,506, foll. 97-110	1#367	CCCCLX	CCLXII	CCCCLX		Add. 14,667, foll. 55-59	1#316	CCCCIII	CCCCIII	#N/A	#N/A	403	Approx. 11c	475							
Add. 14,506, foll. 97-110, lower text	1#367	CCCCLX	DCXLIX	CCCCLX		Add. 17,218, fol. 56	1#316	CCCCIV	CCCCIV	#N/A	#N/A	404	Approx. 11c 	968				Tucker	Framework established for a later stage		
Add. 17,216, fol. 46	1#367	CCCCLXI	DXLVIII	CCCCLXI		Add. 14,711	1#320-321	CCCCIX	CCCCIX	#N/A	#N/A	409	1222	583							
Add. 14,506, foll, 1-96, upper text	1#368	CCCCLXIII	CCLXI	CCCCLXIII		Add. 17,141	1#359-363	CCCCL	CCCCL	#N/A	#N/A	450	Approx. 8c-9c	770							
Add. 14,506, foll. 85-96, lower text	1#368	CCCCLXIII	DCXLVIII	CCCCLXIII		Add. 14,520	1#363-365	CCCCLI	CCCCLI	#N/A	#N/A	451	Approx. 8c-9c	214							
Add. 17,248	1#369	CCCCLXIV	DCCCCIII	fixed		Add. 17,218, foll. 44-46	1#365	CCCCLII	CCCCLII	#N/A	#N/A	452	Approx. 8c-9c	961				Tucker	Framework established for a later stage		
Add. 17,232	1#371-374	CCCCLXIX	DCCCXCI	CCCCLXIX		Add. 17,207	1#365-366	CCCCLIII	CCCCLIII	CCCCLIII	#N/A	453	Approx. 8c-9c	869				Jessie	Drafted and edited	Lindsay 5/28/2020	
Add. 17,216, foll. 34-42	1#37	CCCCLXVI	DXLIV	CCCCLXVI		Add. 14,667, fol. 54	1#366	CCCCLIV	CCCCLIV	#N/A	#N/A	454	Approx. 9c	474							
Add. 14,703	1#370-371	CCCCLXVII	cccclxxV	CCCCLXVII		Add. 17,213, foll. 41, 42	1#367	CCCCLIX	CCCCLIX	CCCCLIX	459	459	Approx. 11c	891				Tucker	Drafted		
Add. 17,269, foll. 89-92	1#378	CCCCLXXXI	DXLVIII	cccclxxxi		Add. 14,506, foll. 111-118	1#366	CCCCLV	CCCCLV	CCCCLV	#N/A	455	Approx. 9c	199				Peter	Drafted		
Add. 14,736, foll. 56, 57	1#378	CCCCLXXXII	DI	cccclxxxii		Add. 17,216, foll. 28-31	1#366	CCCCLVI	CCCCLVI	CCCCLVI	#N/A	456	Approx. 9c	916				Peter	Drafted		
Add. 14,736, fol. 58	1#378	CCCCLXXXIII	DII	cccclxxxiii		Add. 17,218, fol. 47	1#367	CCCCLVII	CCCCLVII	#N/A	#N/A	457	Approx. 10c	962				Tucker	Framework established for a later stage		
Add. 14,736, fol. 59	1#378	CCCCLXXXIV	DIII	cccclxxxiV		Add. 17,218, foll. 50, 51	1#367	CCCCLVIII	CCCCLVIII	#N/A	#N/A	458	Approx. 11c	964				Tucker	Framework established for a later stage		
Add. 14,664, fol. 34	1#378	CCCCLXXXV	CCCC	cccclxxxv		Add. 14,506, foll. 97-110	1#367	CCCCLX	CCCCLX	CCCCLX	#N/A	460	Approx. 11c	198				Peter	Drafted		
Add. 17,234	1#317-318	CCCCVII	DCCCXCII	CCCCVII		Add. 14,506, foll. 97-110, lower text	1#367	CCCCLX	CCCCLX	CCCCLX	#N/A	460		1416				Peter	Drafted		
Add. 17,236	1#318-320	CCCCVIII	DCCCXCIV	CCCCVIII		Add. 17,216, fol. 46	1#367	CCCCLXI	CCCCLXI	CCCCLXI	#N/A	461	Approx. 11c	922				Peter	Drafted		
Add. 12,179	1#321-324	CCCCX	LVII	CCCCX		Add. 14,667, foll. 41, 42	1#367	CCCCLXII	CCCCLXII	#N/A	#N/A	462	Approx. 11c	468							
Add. 17,269, foll. 1-38	1#382	CCCCXCIII	DXLV	CCCCXCIII		Add. 14,506, foll, 1-96, upper text	1#368	CCCCLXIII	CCCCLXIII	CCCCLXIII	#N/A	468	Approx. 11c	197				Peter	Drafted		
