Shelf-mark	Shelf-mark-as-id	Catalog pp# (volume#pages)	Wright’s Numeration	Corrected Arabic Numeration	Wright’s Dating	"URI
[Next ID 1450]"				Who is primary?	State of coding	Edited by whom and when:
Add. 12,133, foll. 1-108	Add.12-133-foll.1-108	1#7-8	IX	9	Approx. 8c (early)	2				Daniel	Drafted and edited	Tucker, 8/14
Add. 12,133, foll. 109-169	Add.12-133-foll.109-169	1#31-32	LI	51	Approx. 8c	3				Daniel	Drafted and edited	Tucker, 8/14
Add. 12,134	Add.12-134	1#29-31	XLIX	49	697	4				Tucker	Drafted and edited	Daniel, 8/17
Add. 12,135, foll. 1-43	Add.12-135-foll.1-43	1#24-26	XL	40	726	6				Tucker	Drafted and edited	
Add. 12,136	Add.12-136	1#24	XXXIX	39	Approx. 7c	8				Tucker	Drafted and edited	Daniel
Add. 12,138	Add.12-138	1#101-108	CLXI	161	899	10				Will Potter	Drafted and edited	Jessie, 05/22/2020
Add. 12,139	Add.12-139	1#154-159	CCXXIV	224	1000	11				Jessie	Drafted	
Add. 12,140	Add.12-140	1#49	LXXIII	73	Approx. 6c	12				Tucker	Drafted and edited	Daniel 8/24
Add. 12,142, foll. 1-73	Add.12-142-foll.1-73	1#97-98	CLIV	154	Approx. 6c-7c	15				Daniel	Drafted and edited	Tucker, 12/31
Add. 12,143	Add.12-143	2#623	DCCXXII	722	1229	18				James	Drafted and edited	Justin, 4/6/2015
Add. 12,147	Add.12-147	1#261-264	CCCXX	320	1006	22				Jessie	Drafted and edited	Will, 02/03/2020
Add. 12,148	Add.12-148	1#264-266	CCCXXI	321	1007	23				Jessie	Drafted	
Add. 12,149	Add.12-149	1#266-269	CCCXXII	322	1006	24				Jessie	Drafted and edited	Will, 03/12/2020
Add. 12,150	Add.12-150	2#631-633	DCCXXVI	726	412	25				Justin	Drafted	
Add. 12,151	Add.12-151	2#493-497	DCXXV	625	804	26				Justin	Drafted	
Add. 12,152	Add.12-152	2#497-499	DCXXVI	626	837	27				Jessie	Drafted and edited	Will, 02/05/2020
Add. 12,153	Add.12-153	2#423-428	DLV	555	845	28				Justin	Drafted	
Add. 12,159	Add.12-159	2#534-546	DCLXXXV	685	868	34				Kayla	Drafted	
Add. 12,160, foll. 1-108	Add.12-160-foll.1-108	2#472-473	DXC	590	584	36				Justin	Drafted	
Add. 12,160, foll. 109-152	Add.12-160-foll.109-152	3#1090	DCCCCXLII	942	Approx. 6c (late)	37				Justin	Drafted	
Add. 12,161	Add.12-161	2#469-470	DLXXXVII	587	Approx. 6c-7c	38				Jessie	Drafted and edited	Will, 02/06/2020
Add. 12,163, foll. 1-126	Add.12-163-foll.1-126	2#529-530	DCLXXVII	677	Approx. 6c	41				Justin	Drafted	
Add. 12,163, foll. 127-304	Add.12-163-foll.127-304	2#834-836	DCCCXIX	819	Approx. 10c-11c	42				Justin	Drafted	
Add. 12,163, foll. 305-311	Add.12-163-foll.305-311	2#445	DLXVI	566	Approx. 7c	43				Kayla	Drafted	
Add. 12,164	Add.12-164	2#527-529	DCLXXVI	676	Approx. 6c	44				Jessie	Drafted and edited	Anna 3/20/20
Add. 12,165	Add.12-165	2#842-851	DCCCXXV	825	1015	45				Jessie	Drafted	
Add. 12,166, foll. 1-154	Add.12-166-foll.1-154	2#674-676	DCCXLII	742	Approx. 6c	47				Justin	Drafted	
Add. 12,166, foll. 155-258	Add.12-166-foll.155-258	2#491-492	DCXX	620	553	48				Justin	Drafted	
Add. 12,167	Add.12-167	2#769-774	DCCLXXXV	785	876	49				Jessie	Drafted and edited	Lindsay, 03/19/2020
Add. 12,169, foll. 1-178	Add.12-169-foll.1-178	2#589-590	DCCIII	703	Approx. 8c-9c	52				Daniel 	Drafted	
Add. 12,170, foll. 1-135	Add.12-170-foll.1-135	2#458-461	DLXXV	575	604	55				Justin	Drafted	
Add. 12,170, foll. 136-276	Add.12-170-foll.136-276	2#746-752	DCCLXXIV	774	Approx. 8c-9c (early)	56				Kayla	Drafted	
Add. 12,170, foll. 277-279	Add.12-170-foll.277-279	2#752	DCCLXXV	775	Approx. 8c-9c (early)	57				Julia	Drafted	
Add. 12,172, foll. 1-11	Add.12-172-foll.1-11	2#465	DLXXX	580	Approx. 10c	62				Tucker	Drafted and edited	Tucker, 11/9
Add. 12,172, foll. 165-196	Add.12-172-foll.165-196	1#6-7	VII	7	Approx. 10c-11c	67				Tucker	Drafted and edited	Tucker, 11/9
Add. 12,172, foll. 197-234	Add.12-172-foll.197-234	1#12-13	XVIII	18	Approx. 6c-7c	68				Tucker	Drafted and edited	Tucker, 11/9
Add. 12,173	Add.12-173	3#1070-1072	DCCCCXXIII	923	Approx. 6c-7c	69				Jessie	Drafted and edited	Lindsay, 03/20/2020
Add. 12,175, foll. 1-48	Add.12-175-foll.1-48	3#1100-1101	DCCCCXLVI	946	Approx. 7c-8c	72				Julia	Drafted	Justin 3/17/2015
