@xml:id attribute	Volume #	'Wright''s- Roman Numeral '	'Wright''s- Arabic Numeral'	Starting page #
"bible-ot"	I	I	1	1
"bible-nt"	I	LXIII	63	40
"bible-apocrypha"	I	CLIV	154	97
"bible-punctuation"	I	CLXI	161	101
"psalter"	I	CLXVIII	168	116
"lectionaries"	I	CCXIX	219	146
"missals"	I	CCLV	255	204
"sacerdotals"	I	CCLXXXIV	284	217
"choral"	I	CCCVI	306	240
"hymns"	I	CCCCXXI	421	330
"prayers"	I	CCCCXCIV	494	383
"funerals"	I	DXIII	513	392
"theo-single"	II	DXXVII	527	401
"theo-collected"	II	DCCXXVI	726	631
"theo-catenae"	II	DCCCLII	852	904
"theo-anonymous"	II	DCCCLXV	865	1016
"theo-council"	II	DCCCCV	905	1027
"history"	III	DCCCCXI	911	1039
"lives-collect"	III	DCCCCXXIII	923	1070
"lives-single"	III	DCCCCLXVI	966	1147
"sci-logic"	III	DCCCCLXXXVII	987	1154
sci-grammar"	III	DCCCCXCVI	996	1168
"sci-ethics"	III	MII	1002	1183
"sci-medicine"	III	MIV	1004	1187
"sci-agriculture"	III	MVI	1006	1189
"sci-chemistry"	III	MVII	1007	1190
"sci-natural-history"	III	MVIII	1008	1192
"fly-leaves"	III	MIX	1009	1194
"appendix-a"	III			1201
"appendix-b"	III			1210
