jArt-8	Journal Article	Ameling, Walter	2011	Epigraphische Kleinigkeiten	ZPE	177		71-74
jArt-9	Journal Article	Ameling, Walter	2011	Epigraphische Kleinigkeiten 2	ZPE	178		185-190
jArt-90	Journal Article	Frova, Antonio	1963	Italian Excavations in Israel: Caesarea	Christian News from Israel	14		3-4
jArt-91	Journal Article	Frova, Antonio	1963	Césarée	RBibl	70		578-582
jArt-92	Journal Article	Frova, Antonio	1964	Campagna di scavi della Missione Archeologica Italiana a Caesarea (Israele)	Oriens Antiquus	3		136-137
jArt-93	Journal Article	Galili, Ehud, Uzi Dahari, and Jacob Sharvit	1993	Underwater Surveys and Rescue Excavations along the Israeli Coast	IJNA	22		61-77
jArt-94	Journal Article	Galili, Ehud, Avner Raban, Amon Engert, and Michal Artzy	1989-1990	Underwater Finds	ESI	9		40-42
jArt-95	Journal Article	Garstang, John	1924	Note on a Sculpted Marble Sarcophagus from Caesarea	Bulletin of the British School of Archaeology in Jerusalem	6		77
jArt-96	Journal Article	Gatti, Clementina	1981	A proposito di una rilettura dell’epigrafe di Ponzio Pilato	Aevum	55		13-21
jArt-97	Journal Article	Gersht, Rivka	1983-1984	A Fragmentary Statue from Caesarea Maritima	Scripta Classica Israelica	7		53-57
jArt-98	Journal Article	Gersht, Rivka	1986	The Reader of the Scroll from Caesarea Maritima	Tel Aviv	13-14		67-70
jArt-99	Journal Article	Gersht, Rivka	1991	Dionysiac Sarcophagi from Caesarea Maritima	IEJ	41		145-156
