tsg_type,tsg_description,dnu,fclasses,aat_types,tsg_uri,notes
building ,"A construction for which there is no narrower category, such as a church or mosque. Examples of this type include palaces and named city gates. ",dnu,S,300004790,,
church ,"A building for Christian religious services. It can be a parish church, a monastic church, a cathedral, or a small chapel used only occasionally, but not a chapel that is part of a larger church. ",dnu,S,300007486,,
composite ,"A named place concept which merges multiple distinct place types, such as a city and a diocese. More specific types are preferred. ",dnu,,,,Unused as of 2026-02-24. Poss9bly AAT 300000202 
designated-space ,"An area with artificial boundaries which is not necessarily built up, such as a cemetery, town square, or polo ground. ",dnu,S,300000809,,
diocese ,"An ecclesiastical province governed by a bishop, archbishop, or metropolitan.",dnu,A,300236153,,
fortification ,A military outpost such as a fort or a castle.,dnu,S,300006888,,
island ,A land-mass smaller than a continent surrounded on all sides by water.,dnu,T,300008791,,
madrasa ,A building or space designated for instruction in the Islamic sciences.,dnu,S,300004790,,
monastery ,"A whole monastic complex, including living quarters for the monks or nuns, the church(es), and potentially a refectory, library, school, or other part. ",dnu,S,300263741,,
mosque ,A building or designated space used for Muslim congregational prayers. It can be part of a larger building complex. ,dnu,S,300007544,,
mountain ,"An elevated physical feature, from Mt. Ararat down to a prominent hill.",dnu,T,300008795,,
natural-feature ,"A natural feature for which there is no narrower category, such as a mountain or open water. Examples of this type include forests and hot springs. ",dnu,T;H,300266060,,
open-water ,"A broad category for seas, lakes, oceans, and ponds.",dnu,H,300266059,,
parish ,"An ecclesiastical region below a diocese, presided over by a priest.",dnu,A,300236153,,
province ,"A political unit subject to a ""state"" but larger than a city. States often have multiple levels of administrative units (e.g. the late Ottoman vilayets, sanjaks, kazas, and nahiyes), all of which can be indicated as a ""province."" ",dnu,A,300000774,,
quarter ,A subdivision of an urban center.,dnu,A,300000705,,
region ,"A term indicating a geographic extent larger than a city, without a corresponding politico-administrative apparatus. The size could range from a small valley to an entire continent. ",dnu,L,300182722,,
river ,"A stream of water of whatever size, from the smallest creek to the Amazon. Wadis are also included, even if they are not filled with water year-round. ",dnu,H,300008707,,
settlement ,"Any collection of civilian residences, from the smallest village to the largest metropolis.",dnu,P,300008347,,
state ,"A sovereign government such as an empire, kingdom, caliphate, or independent emirate.",dnu,A,300232420,,
synagogue ,A building designated for use in Jewish worship.,dnu,S,300007590,,
temple ,A building designated for use in pagan worship.,dnu,S,300007595,,
unknown ,"A place whose name is known, but what sort of place it represents is unknown.",dnu,,,,"14 items, no fclasses or aat_types equivalents…"
